author,title,description,url,source,image,category,language,country,published_at
,"Australia should change laws to accommodate crypto, its Senate committee says","Australia needs to introduce new regulations for digital asset miners, such as tax discounts and a licensing regime for crypto exchanges, a Senate report said.",https://www.cnbc.com/2021/10/21/australia-on-changing-laws-to-accommodate-cryptocurrencies.html,Cnbc | World Business News Leader,,business,en,us,2021-10-21T03:31:00+00:00
Romain Dillet,Customer engagement platform Batch raises $23 million after years of bootstrapping,"If you’ve been working in the French tech ecosystem, you may remember a startup called AppGratis. The app discovery and promotion startup basically had to stop operating overnight following a long and nasty fight with Apple. From the team that brought you AppGratis, Batch is a customer engagement platform that has been operating under the [&#8230;]",https://techcrunch.com/2021/10/20/customer-engagement-platform-batch-raises-23-million-after-years-of-bootstrapping/,TechCrunch,,technology,en,us,2021-10-21T04:00:13+00:00
Dina Khrennikova,Russia Is Worried Surging Gas Prices Risk Destroying Demand,Russia Is Worried Surging Gas Prices Risk Destroying Demand,https://www.bloombergquint.com/onweb/russia-is-worried-surging-gas-prices-risk-destroying-demand,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T04:00:10+00:00
Bloomberg News,China Developers Rally on Confidence From Regulators’ Remarks,China Developers Rally on Confidence From Regulators’ Remarks,https://www.bloombergquint.com/china/china-developers-rally-on-confidence-from-regulators-remarks,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T04:10:31+00:00
Chris Kay,India Races to Vaccinate All Adults After Hitting Billion Doses,India Races to Vaccinate All Adults After Hitting Billion Doses,https://www.bloombergquint.com/global-economics/india-races-to-vaccinate-all-adults-after-hitting-billion-doses,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T04:45:10+00:00
ICICI Securities,Havells India Q2 Review - Strong Volume Led Revenue Growth: ICICI Securities,Havells India Q2 Review - Strong Volume Led Revenue Growth: ICICI Securities,https://www.bloombergquint.com/research-reports/havells-india-q2-review-strong-volume-led-revenue-growth-icici-securities,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T04:54:54+00:00
Monika Yadav,India administers 100 crore vaccinations to achieve landmark milestone,Over 20 lakh workers at 4.3 lakh vaccination centres helped achieve the feat over a period of nine months,https://www.thehindubusinessline.com/news/india-administers-100-crore-vaccinations-to-achieve-landmark-milestone/article37102870.ece,Business Line,,business,en,us,2021-10-21T04:51:19+00:00
Business Wire,"Tigo Energy to Showcase Solutions for Roof Space Usage, Monitoring, and Safety at Key Energy","Italian tradeshow features the Tigo Flex MLPE product range and module-level monitoring platform. MONTEVARCHI, Italy &#8212; Tigo Energy, Inc., the solar industry’s worldwide leader in Flex Module Level Power Electronics (MLPE), today announced the Company’s presence as an exhibitor at the upcoming Key Energy in Rimini, Italy. Tigo representatives will showcase all of its TS4 [&#8230;]",https://financialpost.com/pmn/press-releases-pmn/business-wire-news-releases-pmn/tigo-energy-to-showcase-solutions-for-roof-space-usage-monitoring-and-safety-at-key-energy,Financial Post | Canada Business News,,business,en,us,2021-10-21T05:00:08+00:00
BQ Desk,India Administers 100 Crore Covid-19 Vaccine Doses,India Administers 100 Crore Covid-19 Vaccine Doses,https://www.bloombergquint.com/coronavirus-outbreak/india-administers-100-crore-covid-19-vaccine-doses,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T05:01:18+00:00
Kamaron Leach,China Tech ETF Balloons to Record Size as U.S. Cash Floods In,China Tech ETF Balloons to Record Size as U.S. Cash Floods In,https://www.bloombergquint.com/china/china-tech-etf-balloons-to-record-size-as-u-s-cash-floods-in,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T05:11:31+00:00
Bloomberg News,Ukraine Seen Holding Rates But IMF Sows Doubt: Decision Guide,"(Bloomberg) &#8212; Sign up for the New Economy Daily newsletter, follow us @economics and subscribe to our podcast. Ukraine is expected to keep a promise to leave borrowing costs untouched, though remarks this week by the International Monetary Fund have some wondering whether a fifth interest-rate increase of 2021 could yet materialize. The issue at hand is inflation, which [&#8230;]",https://financialpost.com/pmn/business-pmn/ukraine-seen-holding-rates-but-imf-sows-doubt-decision-guide,Financial Post | Canada Business News,,business,en,us,2021-10-21T05:12:11+00:00
IDBI Capital,"Jubilant FoodWorks Q2 Review - Beat Estimates; Delivery, Takeaway Sustains Momentum: IDBI Capital","Jubilant FoodWorks Q2 Review - Beat Estimates; Delivery, Takeaway Sustains Momentum: IDBI Capital",https://www.bloombergquint.com/research-reports/jubilant-foodworks-q2-review-beat-estimates-delivery-takeaway-sustains-momentum-idbi-capital,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T05:01:01+00:00
Molly Smith,"Digital Dollar Could Overwhelm Local Currencies, Rajan Warns","Digital Dollar Could Overwhelm Local Currencies, Rajan Warns",https://www.bloombergquint.com/crypto/digital-dollar-could-overwhelm-local-currencies-rajan-warns,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T05:30:12+00:00
Reuters,"Gulf economies to pick up speed next year, with fall in oil prices biggest risk: Reuters poll","Gulf economies to pick up speed next year, with fall in oil prices biggest risk: Reuters poll",https://www.investing.com/news/economy/gulf-economies-to-pick-up-speed-next-year-with-fall-in-oil-prices-biggest-risk-reuters-poll-2650430,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEH9K06D_L.jpg,business,en,us,2021-10-21T05:35:59+00:00
Reuters,"Ukraine’s new daily coronavirus cases, deaths hit record","KYIV &#8212; Ukraine registered a record daily high of new coronavirus infections and related deaths, the health ministry said on Thursday. Ministry data showed 22,415 new cases over the past 24 hours, exceeding the previous high of 20,341 on April 3. There were also 546 new deaths, surpassing the Oct. 19 record of 538. The [&#8230;]",https://financialpost.com/pmn/business-pmn/ukraines-new-daily-coronavirus-cases-deaths-hit-record-2,Financial Post | Canada Business News,,business,en,us,2021-10-21T05:35:14+00:00
,NextPlay Technologies reports FQ2 results,NextPlay Technologies reports FQ2 results,https://seekingalpha.com/news/3755898-nextplay-technologies-reports-fq2-results?utm_source=feed_news_all&utm_medium=referral,Seeking Alpha,,business,en,us,2021-10-21T05:45:18+00:00
Peter Kennedy,Perrottet holds key with reopening,The Morrison government will be keenly watching the new NSW premier’s bold move to open the nation’s biggest economy.,https://www.businessnews.com.au/article/Perrottet-holds-key-with-reopening,Business News.com.au,https://static.businessnews.com.au/sites/default/files/articles-2021-10/CEBIT_Australia_-_Day_2%2C_The_Hon_Dominic_Perrottet_MP_%282%29.jpg,business,en,au,2021-10-21T06:00:00+00:00
,Tesla shows progress on profit as investors seek perfection,Elon Musk’s electric carmaker hasn’t been too troubled the semiconductor shortage and supply chain challenges that have stymied its rivals.,https://www.theage.com.au/business/companies/tesla-shows-progress-on-profit-as-investors-seek-perfection-20211021-p591ti.html?ref=rss&utm_medium=rss&utm_source=rss_business,The Age,,business,en,au,2021-10-21T05:57:51+00:00
Reuters,"Truck maker Volvo profit beats forecast, but chip woes linger","Truck maker Volvo profit beats forecast, but chip woes linger",https://www.investing.com/news/stock-market-news/truck-maker-ab-volvo-core-profit-beats-forecast-2650448,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEH9K07L_L.jpg,business,en,us,2021-10-21T06:16:20+00:00
Reuters,Swedbank profit tops forecast as commission income hits record,Swedbank profit tops forecast as commission income hits record,https://www.investing.com/news/economy/swedbank-profit-tops-forecast-as-commission-income-hits-record-2650457,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEH9K08C_L.jpg,business,en,us,2021-10-21T06:16:01+00:00
Reuters,"SAP's cloud business drives quarterly results, raised outlook","SAP's cloud business drives quarterly results, raised outlook",https://www.investing.com/news/stock-market-news/sap-confirms-raised-outlook-q3-results-2650439,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEH9K06U_L.jpg,business,en,us,2021-10-21T06:00:38+00:00
Bobby Ghosh,Meet the UAE’s Royal Troubleshooter — and Maybe Next Big Boss,Meet the UAE’s Royal Troubleshooter — and Maybe Next Big Boss,https://www.bloombergquint.com/gadfly/meet-uae-leader-sheikh-mohammed-s-new-royal-troubleshooter,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T06:00:40+00:00
Katarina Hoije,Chad ExxonMobil Unit Shuts In Production Site Over Labor Dispute,Chad ExxonMobil Unit Shuts In Production Site Over Labor Dispute,https://www.bloombergquint.com/markets/chad-exxonmobil-unit-shuts-in-production-site-over-labor-dispute,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T06:00:25+00:00
,"‘Triumph of Indian science’: PM Modi, others celebrate India’s 1 bn COVID-19 vaccinations mark","Soon after this news became public, the internet could not help but rejoice at India's big achievement in its fight against the coronavirus pandemic.",https://www.businesstoday.in/coronavirus/story/triumph-of-indian-science-pm-modi-others-celebrate-indias-1-bn-covid-19-vaccinations-mark-309986-2021-10-21?utm_source=rssfeed,Business Today | Latest Stock Market And Economy News India,,business,en,in,2021-10-21T06:25:09+00:00
Rafaela Lindeberg,Volvo Beats on Profit Despite Chip Crunch Weighing on Production,Volvo Beats on Profit Despite Chip Crunch Weighing on Production,https://www.bloombergquint.com/business/volvo-beats-estimate-despite-chip-crunch-weighing-on-production,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T06:25:22+00:00
Chris Strohm,House Set to Vote on Seeking Prosecution of Ex-Trump Aide Bannon,House Set to Vote on Seeking Prosecution of Ex-Trump Aide Bannon,https://www.bloombergquint.com/politics/house-set-to-vote-on-seeking-prosecution-of-ex-trump-aide-bannon,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T06:47:09+00:00
Reuters,Foreign investors fled when Turkey began cutting rates -IIF data,"NEW YORK &#8212; A small but steady flow of foreign cash into Turkish bonds abruptly reversed in September, when the central bank shocked markets with a rate cut that hit the lira, according to data from the Institute of International Finance. The IIF data also show that cumulative flows into equities have been negative for [&#8230;]",https://financialpost.com/pmn/business-pmn/foreign-investors-fled-when-turkey-began-cutting-rates-iif-data,Financial Post | Canada Business News,,business,en,us,2021-10-21T07:07:32+00:00
Mike Butcher,"Meal planner startup Kitchenful raises $1.9M from VentureFriends, Goodwater Capital, and Jabbar","With the pandemic turning us into delivery experts, consumers have also switched on to meal-kits on droves, given that it combines both delivery and home cooking. But many meal kits can be inflexible. The Kitchenful startup in Germany realized this and so it allows users to browse recipes from food bloggers and have personalized meal [&#8230;]",https://techcrunch.com/2021/10/21/meal-planner-startup-kitchenful-raises-1-9m-from-venturefriends-goodwater-capital-and-jabbar/,TechCrunch,,technology,en,us,2021-10-21T07:01:20+00:00
ICICI Direct,Rallis India Q2 Review - Rising Input Cost Likely To Impact Margins: ICICI Direct,Rallis India Q2 Review - Rising Input Cost Likely To Impact Margins: ICICI Direct,https://www.bloombergquint.com/research-reports/rallis-india-q2-review-rising-input-cost-likely-to-impact-margins-icici-direct,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T07:10:42+00:00
Suttinee Yuvejwattana,Thailand Scraps Mortgage Lending Cap to Support Fragile Economy,Thailand Scraps Mortgage Lending Cap to Support Fragile Economy,https://www.bloombergquint.com/business/thailand-scraps-mortgage-lending-cap-to-support-fragile-economy,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T07:35:26+00:00
Benoit Berthelot,"SoftBank, Sumeru Lead $200 Million Funding in Learning Startup","SoftBank, Sumeru Lead $200 Million Funding in Learning Startup",https://www.bloombergquint.com/markets/softbank-sumeru-lead-200-million-funding-in-learning-startup,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T07:43:34+00:00
Mark Gurman,Apple Will Force Unvaccinated Office Workers to Get Tested Daily,Apple Will Force Unvaccinated Office Workers to Get Tested Daily,https://www.bloombergquint.com/business/apple-will-force-unvaccinated-office-workers-to-get-tested-daily,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T07:41:30+00:00
,Aryan Khan drug case: NCB teams reach Shah Rukh Khan&#039;s home; Ananya Pandey&#039;s house searched too,A team of Narcotics Control Bureau (NCB) officials reached Shah Rukh Khan's residence 'Manat' in Bandra on Thursday in connection with the Mumbai cruise drugs case in which his son Aryan Khan has been arrested.,https://www.businesstoday.in/latest/trends/story/aryan-khan-drug-case-ncb-teams-reach-shah-rukh-khans-home-ananya-pandeys-house-searched-too-310000-2021-10-21?utm_source=rssfeed,Business Today | Latest Stock Market And Economy News India,,business,en,in,2021-10-21T07:55:08+00:00
Adveith Nair,GoTo Draws $400 Million From Top Abu Dhabi Fund Ahead of IPO,GoTo Draws $400 Million From Top Abu Dhabi Fund Ahead of IPO,https://www.bloombergquint.com/business/abu-dhabi-s-top-fund-buys-into-indonesia-s-largest-internet-firm,Bloomberg | Latest And Live Business,,business,en,us,2021-10-21T07:51:08+00:00
Reuters,"Public consultation on Tesla’s factory near Berlin to be repeated, local authority says","BERLIN &#8212; An online consultation for local citizens to express objections to Tesla&#8217;s factory in Gruenheide near Berlin will be repeated, the regional environmental ministry said on Thursday, over concerns that the process did not comply with regulations. After environmental groups disputed in a separate case also moved online this year that not enough time [&#8230;]",https://financialpost.com/pmn/business-pmn/public-consultation-on-teslas-factory-near-berlin-to-be-repeated-local-authority-says,Financial Post | Canada Business News,,business,en,us,2021-10-21T07:55:09+00:00
Reuters,World Bank revises up 2021 GDP forecast for Western Balkans to 5.9%,"SARAJEVO &#8212; The World Bank on Thursday revised up its forecast for the economic growth of six countries of the Western Balkans to 5.9% in 2021 after a 3.1% contraction in 2020 due to the COVID-19 pandemic, but cautioned that recovery remains fragile. In its regular six-month report on the region, the lender estimated that [&#8230;]",https://financialpost.com/pmn/business-pmn/world-bank-revises-up-2021-gdp-forecast-for-western-balkans-to-5-9,Financial Post | Canada Business News,,business,en,us,2021-10-21T08:03:39+00:00
Sunil Dhawan,"Sensex down by over 1000 points from highs! Find out what suits now – SIP, STP or Lumpsum?",The decision to go with an SIP or a lump sum has a lot more to do with your financial goals and your cash flow scenario rather than the current market condition.,https://www.financialexpress.com/money/mutual-funds/sensex-down-by-over1000-points-from-highs-find-out-what-suits-now-sip-stp-or-lumpsum/2353981/,The Financial Express,https://images.financialexpress.com/2021/10/7-5.jpg,business,en,us,2021-10-21T08:07:51+00:00
Reuters,World Bank revises up 2021 GDP forecast for Western Balkans to 5.9%,World Bank revises up 2021 GDP forecast for Western Balkans to 5.9%,https://www.investing.com/news/economic-indicators/world-bank-revises-up-2021-gdp-forecast-for-western-balkans-to-59-2650540,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEH9K0CY_L.jpg,business,en,us,2021-10-21T08:15:51+00:00
,Aryan Khan drugs case: NCB conducts raid at Shah Rukh Khan's home 'Mannat',"The reasons for the raids at Khan's sea-facing bungalow, 'Mannat' were not immediately available",https://www.business-standard.com/article/current-affairs/ncb-visits-srk-ananya-pandey-s-homes-conducts-raids-in-andheri-121102100783_1.html,Business Standard,,business,en,us,2021-10-21T08:16:09+00:00
